band;record;cover_link;country;year;style1;style2;rating;highlight;review;date
Black Country New Road;Ants From Up There;https://e.snmc.io/i/600/s/d41fd89a34689afe2a3c392958a5d40e/9391518/black-country-new-road-ants-from-up-there-Cover-Art.jpg;UK;2022;art-rock;post-rock;5;Basketball Shoes;;01-03-2025
Black Country New Road;For the First Time;https://e.snmc.io/i/600/s/6bd10c3d453bd5516e1472dca97d7fee/8538705/black-country-new-road-for-the-first-time-Cover-Art.jpg;UK;2021;post-punk;post-rock;5;Sunglasses;;01-03-2025
Deadletter;Hysterical Strength;https://e.snmc.io/i/600/s/6e0e2cc755817eb3d7594d014229d36e/12038887/deadletter-hysterical-strength-Cover-Art.jpg;UK;2024;post-punk;dance-punk;3;More Heat!;Many great riffs and grooves, but inconsistent songwriting.;11-03-2025
The 113;To Combat Regret (EP);https://e.snmc.io/i/600/s/95e7c2b9c1fb718634043cf235e656b3/13161898/the-113-to-combat-regret-Cover-Art.png;UK;2025;post-punk;;3;Too Awake;Dark, tense, bass-driven, run-of-the-mill post-punk.;16-03-2025
Ugly (UK);Twice Around the Sun (EP);https://e.snmc.io/i/600/s/bd57301480a2710b0dc6eb2779c5f565/11966891/ugly-twice-around-the-sun-Cover-Art.jpg;UK;2024;prog-folk;art-rock;5;Icy Windy Sky;Art-sy, prog-sy folk-rock. Rich instrumentation and richer choir-like vocal harmonies.;02-04-2025
The Drones;Wait Long by the River and the Bodies of your Ennemies Will Float by;https://e.snmc.io/i/600/s/4f9ebc81f4f2f807d80045cae27d2b5f/6691065/the-drones-wait-long-by-the-river-and-the-bodies-of-your-enemies-will-float-by-Cover-Art.jpg;Australia;2005;blues punk;;5;Locust;Raw, bluesy, angry and bleak.;04-05-2025
Black Eyes;Black Eyes;https://e.snmc.io/i/600/s/be1115f9894d1a8c6a0b5b608bd48f5a/10725732/black-eyes-black-eyes-Cover-Art.jpg;US;2003;post-hardcore;art-punk;5;Deformative;Double the drummers, double the bassists, double the (screaming) singers, and a guitarist too busy making noise to play riffs. Awesome.;08-12-2025
The Sound;Jeopardy;https://e.snmc.io/i/600/s/cdd252452fa1b6ca07934fcfa32df8af/3381713/the-sound-jeopardy-Cover-Art.jpg;UK;1980;post-punk;;4;I Can't Escape Myself;New wavey Joy Division-ish post-punk. Punky guitars, mandatory synths (it's 1980).;15-01-2026
Stratford Rise; Startford Rise (EP);https://e.snmc.io/i/600/s/c1bc2fde31f1fc81176f9853828eab23/13374455/stratford-rise-stratford-rise-Cover-Art.jpg;UK;2025;noise rock;experimental;4;Gunshow;Sharp guitars, noisy mix, quirky vocals. Someone listened to Black Midi, and probably Primus too.;15-01-2026
Gang of Four; Entertainment!;https://e.snmc.io/i/600/s/44b6fea8d6a1f9eccef3142707662a75/3991343/gang-of-four-entertainment-Cover-Art.jpg;UK;1979;post-punk;dance-punk;4;Damaged Goods;Classic. Tight grooves and sharp, rythmic guitar playing.;20-01-2026
All Them Witches;Lightning at the Door;https://e.snmc.io/i/600/s/040431a87a277424ad4013e339b20ad8/4995883/all-them-witches-lightning-at-the-door-Cover-Art.jpg;US;2013;stoner rock;blues rock;4;The Marriage of Coyote Woman;;20-01-2026
Arctic Monkeys;Favourite Worst Nightmare;https://e.snmc.io/i/600/s/4aa24f52c267b960add42ae19e885380/12462942/arctic-monkeys-favourite-worst-nightmare-Cover-Art.jpg;UK;2007;indie rock;garage rock;5;This House is a Circus;Some people say Whatever People Say I Am is better. I disagree.;20-01-2026
Black Eyes;Cough;https://e.snmc.io/i/600/s/3cf750af064ea022fdc2247694a1d0ed/10725721/black-eyes-cough-Cover-Art.jpg;US;2004;art-punk;noise rock;5;Eternal Life;Adding a saxophone and fusing-in more free jazz and dub elements, this is Black Eyes at their noisiest and most experimental.;20-01-2026
Built to Spill;Perfect from Now On;https://e.snmc.io/i/600/s/4829b6946f27449a4b2919714f3af3c5/12168401/built-to-spill-perfect-from-now-on-Cover-Art.jpg;US;1997;indie rock;post-rock;4;I Would Hurt a Fly;Post-rock/midwest emo Neutral Milk Hotel. Layered guitars and a crippling addiction to fade-outs. Crazy to have so many multiple-parts tracks yet no proper ending for most of them, with a lot of them overstaying their welcome.;21-01-2026
Fugazi;Repeater;https://e.snmc.io/i/600/s/9b436579e65d31d244dc913eb91302a5/2097462/fugazi-repeater-Cover-Art.jpg;US;1990;art-punk;post-hardcore;5;Shut the Door;Classic Fugazi: interesting dynamics, tight bass and drums grooves, harmonized riffage and great vocals.;11-02-2026
Folly Group;Down There!;https://e.snmc.io/i/600/s/655cba41401bf46a6d86b3159e278722/11357140/folly-group-down-there-Cover-Art.jpg;UK;2024;post-punk;;4;Big Ground;Listened to this only once before, and felt unimpressed, but it's actually better than I remembered. Quite a different vibe to other contemporaries, more 'urban' than 'artsy'. Tracks are more linear and lowkey, with dance/electronic influences which are not that common in this scene.;11-02-2026
Tramhaus;The First Exit;https://e.snmc.io/i/600/s/b3b252c038d84dfb0907172c37ee82dd/12379856/tramhaus-the-first-exit-cover-art.jpg;Netherlands;2024;post-punk;;4;The Cause;Loud and energetic.;11-02-2026
Sleater-Kinney;Call the Doctor;https://e.snmc.io/i/600/s/d58307aa8495e668798bc051e24f859b/2083270/sleater-kinney-call-the-doctor-Cover-Art.jpg;US;1969;punk rock;indie rock;5;Call the Doctor;;12-02-2026
Black Mountain;In The Future;https://e.snmc.io/i/600/s/5708a2abd82b48d67b89bcc8d491b6d7/8978991/black-mountain-in-the-future-Cover-Art.jpg;US;2008;psychedelic rock;stoner rock;4;Angels;Alternates between long multi-part tracks, shorter folk-rocks ballads. Strong 60s influences (there's even a mellotron!).;12-02-2026
Opus Kink;'Til the Steam Runs Dry;https://e.snmc.io/i/600/s/f2de66da528ae8fd60960ff1dbf27535/12038607/opus-kink-til-the-stream-runs-dry-Cover-Art.jpg;UK;2022;post-punk;jazz-rock;4;The Unrepentant Soldier;Cabaret post-punk, somehow? Theatrical and jazzy.;12-02-2026
Man Woman Chainsaw;Eazy Peazy;https://e.snmc.io/i/600/s/c8e18126f4ab97b959d1f218cfb4eee0/12339952/man_woman_chainsaw-eazy-peazy-Cover-Art.jpg;UK;2024;post-punk;indie rock;2;The Boss;More on the indie/pop side of the current post-punk wave. Some potential but something just doesn't click for me, probably a bit too pop.;12-02-2026
